Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
1 year ago,talk,Unknown,NDC TechTown 2022 | Software Conference for Product Development,Unknown,1:09,1,https://youtube.com/watch?v=gEiT0xeXkO4
1 year ago,talk,Unknown,HTTPS History,Jim Manico,6:15,6,https://youtube.com/watch?v=SXWMlilD82w
1 year ago,talk,NDC Security 2022,Protect your code with GitHub security features,Rob Bos,57:46,58,https://youtube.com/watch?v=dZYiveyMWXg
1 year ago,talk,NDC Security 2022,Protect Yourself Against Supply Chain Attacks,Rob Bos,1:02:00,62,https://youtube.com/watch?v=00R1JGBQEJg
1 year ago,talk,NDC Security 2022,Hyper Speed: When Big Data Blooms,Scott Helme,1:00:20,60,https://youtube.com/watch?v=etLfGtvTJ2M
1 year ago,talk,NDC Security 2022,AppSec is Too Hard!?,Philippe De Ryck,50:20,50,https://youtube.com/watch?v=sUKpUPu151Q
1 year ago,talk,NDC Security 2022,Sharing Health Information Through APIs,Steinar Noem,1:00:37,61,https://youtube.com/watch?v=_ppWRRj4brI
1 year ago,talk,NDC Security 2022,Classic Vulnerabilities,Patricia Aas,1:05:00,65,https://youtube.com/watch?v=EOYLK_mSX-0
1 year ago,talk,NDC Security 2022,On Building Teams,Niall Merrigan,56:21,56,https://youtube.com/watch?v=sMI-37eAlzU
1 year ago,talk,Unknown,Introduction to Security Testing History,Jim Manico,9:29,9,https://youtube.com/watch?v=XKGADGyWy0E
1 year ago,talk,NDC Security 2022,Cloud Hacking Scenarios,Michal Brygidyn,36:05,36,https://youtube.com/watch?v=FQHM-N59Tbc
1 year ago,talk,NDC Security 2022,Gamify your Security,Jillian Ratliff,48:24,48,https://youtube.com/watch?v=j9e6okYJEyQ
1 year ago,talk,NDC Security 2022,NDC London | 9-13 May 2022  | Conference for Software Developers,Unknown,0:30,1,https://youtube.com/watch?v=NxTGOM1CMEw
1 year ago,talk,Unknown,NDC Porto 2022,Conference for Software Developers,0:30,1,https://youtube.com/watch?v=AJtZGPuFCDs
1 year ago,talk,NDC Sydney 2021,Move the needle,Eric Rabinovitch,52:44,53,https://youtube.com/watch?v=OjHIF8xUm2Q
1 year ago,talk,NDC Sydney 2021,Beyond Sentiment Analysis: Real Time Object Detection with ML NET,Arafat Tehsin,54:42,55,https://youtube.com/watch?v=7-Vt-cg1aMQ
1 year ago,talk,NDC Sydney 2021,From Horror Story... to Fairy Tale,Michael Dowden,55:44,56,https://youtube.com/watch?v=eYD4qrXVCGo
1 year ago,talk,NDC Sydney 2021,You're on Mute! WEBRTC and our lives on screen,Phil Nash,49:51,50,https://youtube.com/watch?v=yHebbLd5avI
1 year ago,talk,NDC Sydney 2021,A practical approach to operating Data Service tiers on Kubernetes,Rags Srinivas,56:58,57,https://youtube.com/watch?v=FXMIbyMzNXQ
1 year ago,talk,NDC Sydney 2021,Local Development Techniques with Kubernetes,Rob Richardson,43:37,44,https://youtube.com/watch?v=u_m3-LUJcpQ
1 year ago,talk,NDC Sydney 2021,Containers in Azure,Yaser Adel Mehraban,1:02:54,63,https://youtube.com/watch?v=nSDa5p9P8k0
1 year ago,talk,NDC Sydney,Implementing an Event Sourcing strategy on Azure,Olena Borzenko & Eldert Grootenboer,58:21,58,https://youtube.com/watch?v=ffWjxam9GS8
1 year ago,talk,NDC Sydney 2021,Next level Security for your Azure applications,Jan de Vries,45:25,45,https://youtube.com/watch?v=Icxsiv1SB6k
1 year ago,talk,NDC Sydney 2021,Building Enterprise Microservices using Ocelot and Azure,Patrick Zhao,55:57,56,https://youtube.com/watch?v=F9Nx5Ho8h6w
1 year ago,talk,NDC Sydney 2021,Unleash your inner CTO!,Rob Crowley,1:00:19,60,https://youtube.com/watch?v=VDTHaH8r9YM
1 year ago,talk,NDC Syndey 2021,Cloudy with a chance of mobile,Matt Goldman,56:12,56,https://youtube.com/watch?v=Po-t9V4_lAQ
1 year ago,talk,Unknown,Super fast transactions in low milli seconds using Cosmos DB and Redis,Bryden Oliver,46:10,46,https://youtube.com/watch?v=xgh9F_HcOFo
1 year ago,talk,NDC Oslo 2021,The Marvels of Teenage Engineering,Anders Norås,57:41,58,https://youtube.com/watch?v=484zSsJR4d8
1 year ago,talk,NDC Oslo 2021,The Worst Programming Language Ever,Mark Rendle,1:00:41,61,https://youtube.com/watch?v=vcFBwt1nu2U
1 year ago,talk,NDC Oslo 2021,Scaling Machine Learning Pipelines in Cloud,Salman Iqbal,54:14,54,https://youtube.com/watch?v=iuWL2acLvP4
1 year ago,talk,NDC Oslo 2021,Building beautiful Blazor apps with Tailwind CSS,Chris Sainty,54:50,55,https://youtube.com/watch?v=zS0y9krXO6E
